year,Antarctica,Antarctic_Peninsula,East_Antarctica,West_Antarctica
1992.00,4.41,-1.80,1.63,4.58
1992.08,11.48,-3.32,6.32,8.48
1992.17,19.65,-4.40,11.00,13.05
1992.25,10.59,-5.43,2.98,13.05
1992.33,9.46,-6.02,2.26,13.22
1992.42,7.56,-6.63,0.71,13.48
1992.50,7.33,-7.05,-0.58,14.96
1992.58,9.06,-7.59,-1.00,17.64
1992.67,11.46,-7.84,-0.49,19.79
1992.75,13.06,-7.99,-0.81,21.86
1992.83,12.13,-8.22,-1.88,22.24
1992.92,13.42,-8.21,-1.32,22.96
1993.00,16.38,-7.89,0.94,23.33
1993.08,20.54,-7.31,4.95,22.89
1993.17,23.72,-6.70,6.98,23.45
1993.25,26.39,-6.27,8.62,24.04
1993.33,26.73,-5.60,10.03,22.30
1993.42,22.28,-5.52,9.16,18.64
1993.50,16.10,-5.65,7.51,14.24
1993.58,7.55,-5.83,4.83,8.55
1993.67,-1.76,-5.95,1.05,3.13
1993.75,-13.16,-6.32,-4.70,-2.13
1993.83,-23.30,-6.76,-9.75,-6.78
1993.92,-32.32,-7.42,-13.60,-11.30
1994.00,-42.02,-8.34,-16.77,-16.90
1994.08,-53.99,-9.30,-20.68,-24.01
1994.17,-64.15,-10.50,-22.31,-31.33
1994.25,-74.64,-12.00,-23.89,-38.75
1994.33,-84.44,-13.55,-25.11,-45.77
1994.42,-93.77,-15.11,-26.08,-52.58
1994.50,-103.71,-16.30,-28.94,-58.47
1994.58,-114.14,-17.51,-32.87,-63.76
1994.67,-124.53,-18.59,-37.09,-68.86
1994.75,-136.63,-19.44,-41.40,-75.79
1994.83,-148.57,-20.35,-45.97,-82.25
1994.92,-160.37,-21.39,-50.08,-88.90
1995.00,-171.06,-22.37,-52.86,-95.84
1995.08,-179.83,-23.33,-54.03,-102.47
1995.17,-184.44,-24.28,-51.63,-108.53
1995.25,-188.29,-24.93,-50.24,-113.12
1995.33,-189.60,-25.22,-46.61,-117.76
1995.42,-189.95,-25.63,-40.80,-123.52
1995.50,-190.91,-26.08,-35.55,-129.29
1995.58,-193.38,-26.64,-30.95,-135.79
1995.67,-195.18,-27.21,-24.61,-143.36
1995.75,-197.14,-27.79,-18.80,-150.55
1995.83,-201.12,-28.66,-15.06,-157.40
1995.92,-204.62,-29.59,-9.99,-165.04
1996.00,-208.23,-30.38,-5.10,-172.75
1996.08,-211.58,-31.07,-1.34,-179.18
1996.17,-214.84,-31.45,2.74,-186.13
1996.25,-215.98,-31.76,7.30,-191.53
1996.33,-215.79,-32.32,14.25,-197.72
1996.42,-214.77,-32.81,22.62,-204.58
1996.50,-214.26,-33.23,30.72,-211.75
1996.58,-213.54,-33.60,38.85,-218.79
1996.67,-213.76,-33.86,45.25,-225.15
1996.75,-218.57,-34.33,47.66,-231.89
1996.83,-224.61,-34.64,48.26,-238.23
1996.92,-230.41,-34.95,48.46,-243.92
1997.00,-237.01,-35.27,47.24,-248.97
1997.08,-244.09,-35.54,45.36,-253.91
1997.17,-249.12,-35.82,44.44,-257.74
1997.25,-251.08,-36.35,44.53,-259.26
1997.33,-251.42,-37.32,46.34,-260.43
1997.42,-250.70,-38.55,48.79,-260.94
1997.50,-251.99,-39.85,49.57,-261.71
1997.58,-253.32,-41.05,48.00,-260.27
1997.67,-256.06,-42.12,44.11,-258.05
1997.75,-260.57,-42.90,38.90,-256.56
1997.83,-261.80,-43.52,34.19,-252.47
1997.92,-264.71,-44.12,29.08,-249.67
1998.00,-269.32,-44.86,24.67,-249.13
1998.08,-270.49,-45.33,23.73,-248.89
1998.17,-270.06,-45.80,24.16,-248.41
1998.25,-270.34,-46.33,24.87,-248.88
1998.33,-267.45,-46.70,28.35,-249.09
1998.42,-262.98,-46.92,34.25,-250.31
1998.50,-259.53,-46.87,39.21,-251.88
1998.58,-256.92,-46.70,43.75,-253.97
1998.67,-257.01,-46.63,47.65,-258.03
1998.75,-260.83,-46.37,49.51,-263.97
1998.83,-265.94,-46.35,51.22,-270.82
1998.92,-277.57,-46.34,50.27,-281.50
1999.00,-291.75,-46.53,48.80,-294.02
1999.08,-304.05,-46.76,48.42,-305.71
1999.17,-318.12,-47.29,45.54,-316.37
1999.25,-327.16,-47.67,44.98,-324.47
1999.33,-332.74,-47.87,46.40,-331.27
1999.42,-336.30,-48.08,48.59,-336.81
1999.50,-340.36,-48.18,49.27,-341.44
1999.58,-344.40,-48.26,49.22,-345.36
1999.67,-347.06,-48.42,47.94,-346.58
1999.75,-353.02,-48.79,44.54,-348.78
1999.83,-358.16,-49.16,41.97,-350.96
1999.92,-364.99,-49.98,37.27,-352.27
2000.00,-370.47,-50.35,32.39,-352.51
2000.08,-373.95,-50.98,29.79,-352.76
2000.17,-376.88,-51.63,27.21,-352.46
2000.25,-377.25,-52.05,25.74,-350.94
2000.33,-377.63,-52.80,25.07,-349.90
2000.42,-377.86,-53.62,25.30,-349.54
2000.50,-379.33,-54.57,24.92,-349.68
2000.58,-380.96,-55.55,23.94,-349.35
2000.67,-382.81,-56.69,23.09,-349.21
2000.75,-387.87,-57.89,22.54,-352.52
2000.83,-390.14,-58.62,23.24,-354.76
2000.92,-394.76,-59.86,22.34,-357.24
2001.00,-398.74,-61.16,23.43,-361.01
2001.08,-404.69,-62.60,24.99,-367.09
2001.17,-410.07,-63.48,24.94,-371.53
2001.25,-414.73,-63.93,25.40,-376.20
2001.33,-418.68,-64.41,28.19,-382.46
2001.42,-419.34,-64.61,34.92,-389.65
2001.50,-418.56,-64.45,42.76,-396.87
2001.58,-418.69,-64.07,49.81,-404.42
2001.67,-417.81,-63.76,57.74,-411.79
2001.75,-417.49,-63.53,65.67,-419.63
2001.83,-416.88,-63.44,73.36,-426.80
2001.92,-418.70,-64.00,80.44,-435.14
2002.00,-419.72,-64.43,87.80,-443.09
2002.08,-419.97,-64.50,95.11,-450.58
2002.17,-417.46,-64.45,102.70,-455.71
2002.25,-413.90,-65.13,111.39,-460.16
2002.33,-411.40,-66.72,120.04,-464.72
2002.42,-409.22,-68.90,128.57,-468.88
2002.50,-412.35,-71.27,131.97,-473.05
2002.58,-415.73,-73.77,134.11,-476.06
2002.67,-421.12,-76.17,134.43,-479.38
2002.75,-428.30,-78.64,132.84,-482.50
2002.83,-435.44,-80.90,130.53,-485.08
2002.92,-442.58,-83.22,128.06,-487.42
2003.00,-448.71,-84.67,126.75,-490.79
2003.08,-453.71,-85.96,126.60,-494.35
2003.17,-457.73,-87.23,128.09,-498.59
2003.25,-461.24,-88.55,130.68,-503.37
2003.33,-464.37,-89.77,133.66,-508.26
2003.42,-467.71,-91.10,136.88,-513.49
2003.50,-472.42,-92.51,139.16,-519.07
2003.58,-479.57,-93.94,140.23,-525.86
2003.67,-490.41,-95.52,139.27,-534.16
2003.75,-504.34,-97.66,137.17,-543.85
2003.83,-519.91,-100.33,134.83,-554.41
2003.92,-534.02,-102.88,133.79,-564.93
2004.00,-544.72,-105.12,134.27,-573.88
2004.08,-555.79,-107.37,133.81,-582.22
2004.17,-568.00,-109.77,132.40,-590.63
2004.25,-580.17,-112.38,130.95,-598.75
2004.33,-589.23,-114.61,131.45,-606.07
2004.42,-592.99,-116.03,134.68,-611.64
2004.50,-592.74,-116.50,139.79,-616.03
2004.58,-590.99,-116.27,145.48,-620.20
2004.67,-591.62,-115.80,149.04,-624.86
2004.75,-596.29,-115.73,150.23,-630.79
2004.83,-604.42,-116.15,149.35,-637.63
2004.92,-614.53,-116.90,147.72,-645.35
2005.00,-623.63,-117.92,146.76,-652.48
2005.08,-632.48,-119.50,145.65,-658.63
2005.17,-642.44,-122.14,143.38,-663.68
2005.25,-652.19,-125.76,140.50,-666.94
2005.33,-657.36,-129.18,140.30,-668.49
2005.42,-656.23,-132.28,143.87,-667.82
2005.50,-652.14,-135.14,148.91,-665.90
2005.58,-647.24,-137.82,153.41,-662.83
2005.67,-642.70,-140.35,157.30,-659.65
2005.75,-640.19,-142.92,160.24,-657.50
2005.83,-639.32,-144.87,162.62,-657.08
2005.92,-639.70,-146.07,164.65,-658.28
2006.00,-640.53,-146.48,166.82,-660.86
2006.08,-641.70,-146.13,168.65,-664.22
2006.17,-644.80,-145.56,169.79,-669.02
2006.25,-648.61,-144.83,171.23,-675.02
2006.33,-652.04,-143.96,173.92,-682.00
2006.42,-655.67,-143.60,177.64,-689.71
2006.50,-659.62,-143.78,181.76,-697.60
2006.58,-666.17,-144.80,184.72,-706.08
2006.67,-676.07,-146.61,186.00,-715.46
2006.75,-689.68,-149.20,185.07,-725.54
2006.83,-705.08,-152.57,183.17,-735.68
2006.92,-720.49,-156.90,182.02,-745.61
2007.00,-735.88,-162.43,181.66,-755.11
2007.08,-753.20,-168.69,179.67,-764.18
2007.17,-771.00,-174.85,176.39,-772.53
2007.25,-785.38,-180.09,173.91,-779.20
2007.33,-797.98,-185.20,172.38,-785.15
2007.42,-811.21,-190.58,170.37,-791.00
2007.50,-824.35,-195.75,168.01,-796.61
2007.58,-839.31,-200.73,164.23,-802.81
2007.67,-857.29,-205.45,158.20,-810.04
2007.75,-878.50,-210.08,150.56,-818.98
2007.83,-900.79,-214.30,142.71,-829.20
2007.92,-922.89,-217.88,135.33,-840.34
2008.00,-943.59,-221.07,128.70,-851.22
2008.08,-964.05,-223.81,121.57,-861.81
2008.17,-984.20,-226.22,113.66,-871.64
2008.25,-1001.77,-228.20,106.48,-880.04
2008.33,-1015.56,-230.08,101.35,-886.83
2008.42,-1025.73,-231.37,98.18,-892.54
2008.50,-1033.21,-232.07,97.37,-898.50
2008.58,-1039.94,-232.66,98.35,-905.63
2008.67,-1045.73,-233.48,101.63,-913.88
2008.75,-1051.24,-234.79,106.79,-923.23
2008.83,-1055.12,-236.30,114.31,-933.13
2008.92,-1057.49,-237.79,124.56,-944.26
2009.00,-1057.47,-239.57,138.70,-956.60
2009.08,-1058.61,-241.69,153.86,-970.78
2009.17,-1062.85,-244.44,168.87,-987.29
2009.25,-1068.40,-247.99,184.88,-1005.28
2009.33,-1073.99,-252.37,201.76,-1023.38
2009.42,-1078.45,-256.84,218.39,-1040.00
2009.50,-1082.73,-261.33,234.50,-1055.89
2009.58,-1089.05,-266.09,248.71,-1071.68
2009.67,-1097.51,-270.98,260.78,-1087.30
2009.75,-1107.27,-275.93,271.27,-1102.61
2009.83,-1117.39,-280.63,281.16,-1117.92
2009.92,-1130.96,-284.22,287.00,-1133.74
2010.00,-1146.62,-287.08,289.42,-1148.96
2010.08,-1165.85,-289.50,287.73,-1164.09
2010.17,-1188.11,-291.65,282.93,-1179.39
2010.25,-1210.01,-293.48,277.45,-1193.98
2010.33,-1231.17,-294.82,271.02,-1207.37
2010.42,-1249.77,-295.19,264.89,-1219.47
2010.50,-1267.92,-295.01,259.80,-1232.71
2010.58,-1286.11,-294.75,255.30,-1246.66
2010.67,-1304.93,-294.08,251.37,-1262.22
2010.75,-1324.16,-293.64,248.34,-1278.86
2010.83,-1343.19,-293.64,247.85,-1297.40
2010.92,-1360.88,-293.83,249.59,-1316.64
2011.00,-1376.00,-294.88,254.91,-1336.04
2011.08,-1390.75,-297.27,261.56,-1355.04
2011.17,-1406.85,-300.51,267.34,-1373.68
2011.25,-1423.22,-304.11,272.27,-1391.37
2011.33,-1439.52,-308.65,277.08,-1407.94
2011.42,-1453.67,-313.89,282.57,-1422.35
2011.50,-1463.58,-319.24,290.63,-1434.98
2011.58,-1471.15,-324.06,299.61,-1446.70
2011.67,-1478.09,-328.79,308.35,-1457.65
2011.75,-1486.16,-333.86,315.58,-1467.88
2011.83,-1497.29,-338.81,320.14,-1478.62
2011.92,-1509.67,-343.37,322.23,-1488.53
2012.00,-1523.99,-348.12,323.44,-1499.31
2012.08,-1542.43,-352.71,320.68,-1510.41
2012.17,-1564.54,-356.84,315.74,-1523.43
2012.25,-1586.20,-360.53,311.41,-1537.08
2012.33,-1605.24,-364.34,309.17,-1550.06
2012.42,-1620.71,-368.05,309.47,-1562.13
2012.50,-1633.39,-371.67,312.13,-1573.84
2012.58,-1647.90,-375.60,314.54,-1586.83
2012.67,-1663.24,-379.89,316.44,-1599.78
2012.75,-1679.31,-384.34,317.60,-1612.57
2012.83,-1697.04,-388.17,317.68,-1626.55
2012.92,-1714.98,-391.74,317.74,-1640.98
2013.00,-1733.39,-395.01,318.26,-1656.64
2013.08,-1753.92,-398.26,316.00,-1671.66
2013.17,-1776.46,-401.70,312.47,-1687.23
2013.25,-1797.08,-404.87,310.50,-1702.71
2013.33,-1816.30,-407.98,310.10,-1718.42
2013.42,-1833.68,-410.72,311.51,-1734.48
2013.50,-1850.28,-413.56,313.98,-1750.70
2013.58,-1869.93,-416.83,315.04,-1768.15
2013.67,-1893.43,-420.71,314.16,-1786.88
2013.75,-1921.18,-425.62,312.13,-1807.69
2013.83,-1950.76,-430.85,309.92,-1829.84
2013.92,-1977.54,-436.34,309.07,-1850.28
2014.00,-2003.14,-441.41,306.96,-1868.69
2014.08,-2029.44,-445.73,301.92,-1885.64
2014.17,-2054.31,-449.70,295.52,-1900.13
2014.25,-2076.14,-452.72,288.60,-1912.02
2014.33,-2095.61,-454.57,279.85,-1920.88
2014.42,-2112.97,-455.93,271.01,-1928.04
2014.50,-2129.56,-457.31,261.87,-1934.12
2014.58,-2147.32,-458.62,251.66,-1940.36
2014.67,-2167.31,-460.20,240.54,-1947.66
2014.75,-2190.21,-462.36,228.64,-1956.49
2014.83,-2214.50,-464.42,216.91,-1967.00
2014.92,-2238.19,-467.03,206.82,-1977.98
2015.00,-2264.83,-470.15,196.17,-1990.85
2015.08,-2292.86,-473.44,186.42,-2005.84
2015.17,-2322.70,-477.12,176.25,-2021.84
2015.25,-2352.20,-480.81,167.67,-2039.06
2015.33,-2379.41,-484.31,161.27,-2056.37
2015.42,-2401.03,-488.00,158.99,-2072.01
2015.50,-2420.43,-491.30,157.43,-2086.56
2015.58,-2438.24,-494.21,156.57,-2100.60
2015.67,-2454.92,-496.84,156.07,-2114.14
2015.75,-2471.41,-499.32,156.10,-2128.19
2015.83,-2489.26,-501.94,155.86,-2143.19
2015.92,-2509.65,-505.25,154.40,-2158.80
2016.00,-2519.66,-506.16,156.23,-2169.73
2016.08,-2516.43,-504.80,162.41,-2174.04
2016.17,-2513.20,-503.45,168.59,-2178.35
2016.25,-2510.19,-502.09,175.12,-2183.22
2016.33,-2507.17,-500.73,181.64,-2188.08
2016.42,-2504.16,-499.37,188.17,-2192.95
2016.50,-2501.14,-498.02,194.70,-2197.82
2016.58,-2515.40,-498.47,192.38,-2209.31
2016.67,-2529.66,-498.91,190.06,-2220.80
2016.75,-2543.91,-499.36,187.74,-2232.29
2016.83,-2558.17,-499.81,185.42,-2243.78
2016.92,-2572.43,-500.26,183.11,-2255.27
2017.00,-2586.69,-500.71,180.79,-2266.76
2017.08,-2600.94,-501.16,178.47,-2278.25
2017.17,-2615.20,-501.61,176.15,-2289.74
2017.25,-2629.46,-502.06,173.84,-2301.23
2017.33,-2643.72,-502.51,171.52,-2312.72
2017.42,-2657.97,-502.96,169.20,-2324.22